S,sigma,T,P,Q, diferencias finitas,black-scholes,ejercicio temprano d.f.,tilley,ejercicio temprano tilley, d.f. - tilley
50,0.2,1,100,100,0.00373623,0.00239942,0.00133681,0.00141657,-0.000982844,-0.00231966
50,0.2,1,50,200,0.00373623,0.00239942,0.00133681,0.00103297,-0.00136645,-0.00270326
50,0.2,1,25,400,0.00373623,0.00239942,0.00133681,0.000675721,-0.0017237,-0.00306051
50,0.2,2,100,100,0.134135,0.123065,0.01107,0.130241,0.00717558,-0.00389444
50,0.2,2,50,200,0.134135,0.123065,0.01107,0.118918,-0.00414758,-0.0152176
50,0.2,2,25,400,0.134135,0.123065,0.01107,0.121783,-0.00128204,-0.0123521
50,0.4,1,100,100,0.633131,0.620128,0.013003,0.620981,0.000853638,-0.0121493
50,0.4,1,50,200,0.633131,0.620128,0.013003,0.624559,0.0044315,-0.00857145
50,0.4,1,25,400,0.633131,0.620128,0.013003,0.635159,0.0150317,0.00202871
50,0.4,2,100,100,2.82679,2.81429,0.0124987,2.77186,-0.0424324,-0.0549311
50,0.4,2,50,200,2.82679,2.81429,0.0124987,3.01087,0.196575,0.184076
50,0.4,2,25,400,2.82679,2.81429,0.0124987,2.84868,0.0343846,0.0218859
95,0.2,1,100,100,7.5109,7.51087,2.68565e-05,7.62017,0.1093,0.109273
95,0.2,1,50,200,7.5109,7.51087,2.68565e-05,7.48288,-0.0279946,-0.0280215
95,0.2,1,25,400,7.5109,7.51087,2.68565e-05,7.66699,0.156115,0.156089
95,0.2,2,100,100,12.8409,12.8414,-0.000456495,12.8498,0.00846592,0.00892242
95,0.2,2,50,200,12.8409,12.8414,-0.000456495,12.6095,-0.231825,-0.231368
95,0.2,2,25,400,12.8409,12.8414,-0.000456495,12.5286,-0.312733,-0.312277
95,0.4,1,100,100,15.0056,15.0077,-0.00214369,15.0965,0.0888517,0.0909954
95,0.4,1,50,200,15.0056,15.0077,-0.00214369,15.2769,0.269166,0.271309
95,0.4,1,25,400,15.0056,15.0077,-0.00214369,14.7646,-0.243119,-0.240976
95,0.4,2,100,100,22.8326,22.9865,-0.153809,24.2264,1.23989,1.3937
95,0.4,2,50,200,22.8326,22.9865,-0.153809,22.4461,-0.54039,-0.386581
95,0.4,2,25,400,22.8326,22.9865,-0.153809,23.7472,0.760783,0.914592
100,0.2,1,100,100,10.4203,10.4506,-0.0303057,10.5932,0.142651,0.172957
100,0.2,1,50,200,10.4203,10.4506,-0.0303057,10.3775,-0.0730569,-0.0427512
100,0.2,1,25,400,10.4203,10.4506,-0.0303057,10.4301,-0.0204498,0.0098559
100,0.2,2,100,100,16.1064,16.1268,-0.0203967,15.8016,-0.325149,-0.304752
100,0.2,2,50,200,16.1064,16.1268,-0.0203967,16.1359,0.00914195,0.0295386
100,0.2,2,25,400,16.1064,16.1268,-0.0203967,16.4351,0.308343,0.32874
100,0.4,1,100,100,18.0036,18.023,-0.0193932,17.7515,-0.27148,-0.252087
100,0.4,1,50,200,18.0036,18.023,-0.0193932,17.786,-0.236904,-0.217511
100,0.4,1,25,400,18.0036,18.023,-0.0193932,17.6247,-0.39821,-0.378816
100,0.4,2,100,100,26.0764,26.2902,-0.213888,25.825,-0.465209,-0.251321
100,0.4,2,50,200,26.0764,26.2902,-0.213888,26.467,0.176728,0.390616
100,0.4,2,25,400,26.0764,26.2902,-0.213888,26.5766,0.286391,0.500279
105,0.2,1,100,100,13.8546,13.8579,-0.0033441,14.0011,0.143206,0.14655
105,0.2,1,50,200,13.8546,13.8579,-0.0033441,13.7652,-0.0927375,-0.0893934
105,0.2,1,25,400,13.8546,13.8579,-0.0033441,13.8608,0.00291689,0.00626099
105,0.2,2,100,100,19.7217,19.724,-0.00236999,19.7513,0.0272317,0.0296016
105,0.2,2,50,200,19.7217,19.724,-0.00236999,19.7297,0.00567222,0.00804221
105,0.2,2,25,400,19.7217,19.724,-0.00236999,19.7537,0.0297113,0.0320813
105,0.4,1,100,100,21.2653,21.2747,-0.00940637,21.4541,0.179421,0.188827
105,0.4,1,50,200,21.2653,21.2747,-0.00940637,21.4639,0.189242,0.198649
105,0.4,1,25,400,21.2653,21.2747,-0.00940637,21.7646,0.489968,0.499375
105,0.4,2,100,100,29.4855,29.7527,-0.267262,29.3423,-0.410375,-0.143113
105,0.4,2,50,200,29.4855,29.7527,-0.267262,30.2284,0.475663,0.742925
105,0.4,2,25,400,29.4855,29.7527,-0.267262,29.3509,-0.401841,-0.134579
150,0.2,1,100,100,54.9709,54.9701,0.000807787,55.2706,0.300457,0.299649
150,0.2,1,50,200,54.9709,54.9701,0.000807787,54.9549,-0.0152598,-0.0160676
150,0.2,1,25,400,54.9709,54.9701,0.000807787,54.7857,-0.184441,-0.185249
150,0.2,2,100,100,59.9954,59.9985,-0.00310035,60.4718,0.473335,0.476436
150,0.2,2,50,200,59.9954,59.9985,-0.00310035,60.4804,0.481954,0.485055
150,0.2,2,25,400,59.9954,59.9985,-0.00310035,60.4371,0.438609,0.441709
150,0.4,1,100,100,57.6838,57.8728,-0.189023,58.0507,0.177847,0.366871
150,0.4,1,50,200,57.6838,57.8728,-0.189023,57.9454,0.0725412,0.261564
150,0.4,1,25,400,57.6838,57.8728,-0.189023,57.4668,-0.406061,-0.217038
150,0.4,2,100,100,64.5349,66.0521,-1.51714,64.6753,-1.37679,0.140356
150,0.4,2,50,200,64.5349,66.0521,-1.51714,65.8484,-0.203627,1.31352
150,0.4,2,25,400,64.5349,66.0521,-1.51714,66.2376,0.18556,1.7027
