S,siggma,T,diferenciasfinitas,blackscholes,ejerciciotempranodf,longstaff,ejerciciotempranols,dfls
50,0.2,1,50,45.1253,4.87466,50,4.87466,0
50,0.2,2,50,40.6068,9.39319,50,9.39319,0
50,0.4,1,50,45.7431,4.25693,50.0038,4.26069,-0.00375802
50,0.4,2,50,43.298,6.70196,50.0763,6.77822,-0.0762528
95,0.2,1,8.45098,7.63381,0.817167,8.39925,0.765434,0.0517323
95,0.2,2,9.89007,8.32509,1.56498,9.84183,1.51673,0.0482441
95,0.4,1,15.7732,15.1306,0.642551,15.7858,0.655188,-0.0126371
95,0.4,2,19.8029,18.4702,1.33271,19.7059,1.23567,0.0970411
100,0.2,1,6.09035,5.57353,0.516824,6.04625,0.472728,0.0440963
100,0.2,2,7.72318,6.61052,1.11266,7.80764,1.19712,-0.0844587
100,0.4,1,13.6652,13.1459,0.519264,13.456,0.310149,0.209115
100,0.4,2,17.882,16.774,1.10797,17.9126,1.13861,-0.0306377
105,0.2,1,4.30441,3.98085,0.323559,4.36295,0.382103,-0.0585436
105,0.2,2,5.99926,5.20777,0.791493,6.04775,0.839986,-0.0484924
105,0.4,1,11.8173,11.3976,0.419676,11.7736,0.375973,0.0437033
105,0.4,2,16.1444,15.2365,0.907952,16.227,0.990568,-0.0826159
150,0.2,1,0.0964431,0.0930826,0.00336055,0.100276,0.00719333,-0.00383278
150,0.2,2,0.519217,0.48222,0.0369969,0.562081,0.0798608,-0.0428639
150,0.4,1,2.97677,2.99579,-0.0190117,3.13132,0.135532,-0.154543
150,0.4,2,6.00398,6.5358,-0.53182,6.66334,0.127538,-0.659358
