S,siggma,P,Q,diferenciasfinitas,blackscholes,ejerciciotempranodf,tilley,ejerciciotempranotilley,dftilley
81,0.2,200,100,19.1911,15.1084,4.08274,15.3333,0.224873,3.85786
81,0.2,50,400,19.1911,15.1084,4.08274,15.2374,0.128949,3.95379
81,0.2,25,800,19.1911,15.1084,4.08274,15.156,0.0476273,4.03511
95,0.2,200,100,9.89007,8.32509,1.56498,8.39699,0.0718922,1.49308
95,0.2,50,400,9.89007,8.32509,1.56498,8.35439,0.029298,1.53568
95,0.2,25,800,9.89007,8.32509,1.56498,8.46155,0.136455,1.42852
100,0.2,200,100,7.72318,6.61052,1.11266,6.62756,0.0170414,1.09562
100,0.2,50,400,7.72318,6.61052,1.11266,6.67555,0.0650246,1.04764
100,0.2,25,800,7.72318,6.61052,1.11266,6.60929,-0.00123637,1.1139
105,0.2,200,100,5.99926,5.20777,0.791493,5.21507,0.00730451,0.784189
105,0.2,50,400,5.99926,5.20777,0.791493,5.28915,0.0813841,0.710109
105,0.2,25,800,5.99926,5.20777,0.791493,5.27573,0.0679622,0.723531
119,0.2,200,100,2.88477,2.57893,0.305839,2.64542,0.066485,0.239354
119,0.2,50,400,2.88477,2.57893,0.305839,2.56847,-0.0104613,0.316301
119,0.2,25,800,2.88477,2.57893,0.305839,2.63712,0.058191,0.247648
81,0.4,200,100,26.3573,24.1913,2.16595,24.3255,0.134188,2.03176
81,0.4,50,400,26.3573,24.1913,2.16595,24.065,-0.126318,2.29226
81,0.4,25,800,26.3573,24.1913,2.16595,24.2138,0.0224309,2.14351
95,0.4,200,100,19.8029,18.4702,1.33271,18.6206,0.150381,1.18233
95,0.4,50,400,19.8029,18.4702,1.33271,18.5824,0.112241,1.22047
95,0.4,25,800,19.8029,18.4702,1.33271,18.4494,-0.0207881,1.3535
100,0.4,200,100,17.882,16.774,1.10797,16.9323,0.158351,0.949619
100,0.4,50,400,17.882,16.774,1.10797,16.9321,0.158126,0.949843
100,0.4,25,800,17.882,16.774,1.10797,16.9172,0.14318,0.96479
105,0.4,200,100,16.1444,15.2365,0.907952,15.3696,0.133123,0.77483
105,0.4,50,400,16.1444,15.2365,0.907952,15.0981,-0.13839,1.04634
105,0.4,25,800,16.1444,15.2365,0.907952,15.2824,0.0459294,0.862023
119,0.4,200,100,12.0907,11.6603,0.430403,11.9546,0.294346,0.136057
119,0.4,50,400,12.0907,11.6603,0.430403,11.7064,0.0461436,0.384259
119,0.4,25,800,12.0907,11.6603,0.430403,11.6996,0.0392637,0.391139
